Year,URL
2010,https://www.milaha.com/sites/default/files/2022-03/2010%20Annual.pdf
2011,https://www.milaha.com/sites/default/files/2022-03/2011%20Annual.pdf
2012,https://www.milaha.com/sites/default/files/2022-03/2012%20Annual.pdf
2013,https://www.milaha.com/sites/default/files/2022-03/2013%20Annual.pdf
2014,https://www.milaha.com/sites/default/files/2022-03/2014%20Annual.pdf
2015,https://www.milaha.com/sites/default/files/2022-03/2015%20Annual.pdf
2016,https://www.milaha.com/sites/default/files/2022-03/2016%20Annual.pdf
2017,https://www.milaha.com/sites/default/files/2022-03/2017%20Annual.pdf
2018,https://www.milaha.com/sites/default/files/2022-03/2018%20Annaul.pdf
2019,https://www.milaha.com/sites/default/files/2022-03/2019%20Annual.pdf
2020,https://www.milaha.com/sites/default/files/2022-03/2020%20Annual.pdf
2021,https://www.milaha.com/sites/default/files/2022-03/2021%20Annual.pdf
2022,https://www.milaha.com/sites/default/files/2023-03/Milaha-Annual-Report-2022-EN_3.pdf
2023,https://milaha.com/sites/default/files/2024-03/MILAHA%20ANNUAL%20REPORT%202023_EN.pdf
2024,https://milaha.com/sites/default/files/2025-03/Milaha-Annual-Report-2024-EN_0.pdf
