company_code,year,dividend_amount_paid
QNNS,2019,340849
QNNS,2017,397658
QNNS,2018,398000
QNNS,2012,400838
QNNS,2013,429469
QNNS,2010,458100
QNNS,2011,458100
QNNS,2014,568082
QNNS,2016,624891
QNBK,2009,1204483
QNBK,2008,1806724
QNBK,2010,1957285
QNBK,2012,2541713
QNBK,2011,2544471
QNBK,2016,2938864
QNBK,2017,2938864
QNBK,2021,4156393
QNBK,2013,4198377
QNBK,2014,4887261
QNBK,2022,5080036
QNBK,2015,5247971
QNBK,2020,5541857
QNBK,2023,5541857
QNBK,2019,5541857
QNBK,2018,5541857
QNBK,2024,6451317
SIIS,2021,8124544
SIIS,2023,15459270
SIIS,2022,18118623
QFBQ,2012,25890000
SIIS,2024,34294376
QFBQ,2024,56000000
SIIS,2014,68588752
ZHCD,2015,86180800
SIIS,2016,91451670
SIIS,2017,91451670
SIIS,2015,114314587
QNCD,2009,142838096
QFBQ,2016,160000000
ZHCD,2021,165898040
ZHCD,2022,169452998
ZHCD,2024,186821930
QNCD,2021,196058682
QNCD,2015,196402384
ZHCD,2020,201447620
ZHCD,2019,201447620
QNCD,2016,216042624
QNCD,2008,249966668
QNCD,2010,267821430
QNCD,2011,267821431
QNCD,2018,294088023
QNCD,2014,294603576
QNCD,2013,294603576
QNCD,2012,294603576
QNNS,2021,341000000
QNNS,2022,398000000
QNNS,2023,426062000
QNNS,2024,426062000
QNNS,2015,625000000QFBQ,2015,160000.0
QFBQ,2014,38913.0
QFBQ,2017,25500.0
QFBQ,2013,30204.0
QFBQ,2010,0.0
QFBQ,2011,21574.0
QFBQ,2020,0.0
QFBQ,2021,12624.0
QFBQ,2023,0.0
